Counter,Time,Bin1 MToF,Bin 14,Bin 2,Bin 5,Bin 9,PM10,Bin 8,Bin 0,Checksum,Bin7 MToF,Bin 3,Bin 10,Bin 12,SFR,Bin 15,Bin5 MToF,PM2.5,Pressure,Bin 1,PM1,Bin3 MToF,Bin 13,Bin 4,Bin 7,Bin 6,Bin 11,Temperature,Sampling Period
1,0.0001392364501953125,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,3.700000047683716,0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,,12327.9482421875
2,0.832557201385498,0.0,0,2,0,0,10.692325592041016,1,2,8,0.0,3,0,0,3.700000047683716,0,0.0,2.6240241527557373,,0,1.080150842666626,8.0,0,0,0,0,0,,0.7370453476905823
3,1.4305462837219238,0.0,0,0,0,0,2.3564412593841553,0,3,4,0.0,0,0,0,3.700000047683716,0,0.0,1.4552773237228394,,0,0.6039367914199829,0.0,0,0,0,1,0,,0.5034666657447815
4,2.0290791988372803,7.666666666666667,0,0,0,0,3.3775503635406494,0,2,5,0.0,0,0,0,3.2173912525177,0,0.0,2.341888904571533,,2,1.2332227230072021,0.0,0,0,0,1,0,,0.5040213465690613
5,2.6274898052215576,0.0,0,2,0,0,2.030536651611328,0,0,3,0.0,1,0,0,3.2173912525177,0,0.0,2.004971981048584,,0,1.0786255598068237,9.666666666666666,0,0,0,0,0,,0.5033173561096191
6,3.226139783859253,0.0,0,0,1,0,6.377678871154785,0,2,4,14.333333333333334,0,0,0,3.2173912525177,0,12.333333333333334,2.114095687866211,,0,0.5056312084197998,0.0,0,0,1,0,0,,0.504149317741394
7,3.824547290802002,12.333333333333334,0,2,1,0,6.037952899932861,0,4,10,0.0,1,0,0,2.4666666984558105,0,15.0,5.7808709144592285,,2,3.6419107913970947,10.333333333333334,0,0,0,0,0,,0.5034453272819519
8,4.423287630081177,0.0,0,0,0,0,0.3003484010696411,0,1,1,0.0,0,0,0,2.4666666984558105,0,0.0,0.3003430962562561,,0,0.2920074164867401,0.0,0,0,0,0,0,,0.5041706562042236
9,5.021624803543091,0.0,0,0,0,0,22.319843292236328,1,2,4,0.0,0,0,0,2.4666666984558105,0,0.0,3.3219261169433594,,0,0.6156966090202332,0.0,0,0,0,1,0,,0.5034239888191223
10,5.620258808135986,9.0,0,0,0,1,64.61902618408203,1,1,6,0.0,0,0,0,2.5771145820617676,0,0.0,4.319896697998047,,3,1.711351752281189,0.0,0,0,0,0,0,,0.5041279792785645
11,6.218779802322388,8.333333333333334,0,0,0,0,4.937448978424072,0,1,6,0.0,1,0,0,2.653386354446411,0,0.0,3.607196807861328,,2,1.5022518634796143,11.666666666666666,0,1,0,1,0,,0.5034666657447815
12,6.817378520965576,0.0,0,0,0,0,2.4441134929656982,0,0,1,0.0,0,0,0,2.653386354446411,0,0.0,1.1890474557876587,,0,0.026608604937791824,0.0,0,0,0,1,0,,0.50408536195755
13,7.4157843589782715,9.666666666666666,0,2,0,0,5.222774505615234,0,1,5,0.0,0,0,0,2.642857074737549,0,0.0,3.948178768157959,,1,1.9008904695510864,0.0,0,0,0,1,0,,0.5034880042076111
14,8.014673233032227,9.666666666666666,0,0,0,0,1.929548978805542,0,3,5,0.0,1,0,0,2.6343040466308594,0,0.0,1.9108474254608154,,1,1.4632562398910522,9.0,0,0,0,0,0,,0.5041706562042236
15,8.6132333278656,5.666666666666667,0,0,0,0,177.34988403320312,0,1,5,13.666666666666666,0,0,0,2.8046648502349854,0,0.0,2.731281280517578,,2,1.139938473701477,0.0,0,0,1,0,1,,0.5034453272819519
16,9.212016820907593,0.0,0,0,0,1,47.49116516113281,0,3,5,21.0,0,0,0,2.8046648502349854,0,0.0,2.8895277976989746,,0,0.7769070267677307,0.0,0,0,1,0,0,,0.504149317741394
17,9.81035566329956,0.0,0,1,0,0,1.9706794023513794,0,4,5,0.0,0,0,0,2.8046648502349854,0,0.0,1.9646549224853516,,0,1.5641863346099854,0.0,0,0,0,0,0,,0.5034026503562927
18,10.409013748168945,0.0,0,0,0,0,0.2641861140727997,0,1,1,0.0,0,0,0,2.8046648502349854,0,0.0,0.2641814351081848,,0,0.25684937834739685,0.0,0,0,0,0,0,,0.5041066408157349
19,11.00733208656311,0.0,0,2,0,0,9.031789779663086,0,3,7,18.333333333333332,1,0,0,2.8046648502349854,0,0.0,4.300453186035156,,0,2.0147573947906494,7.666666666666667,0,0,1,0,0,,0.5034026503562927
20,11.605974912643433,0.0,0,0,0,1,49.276912689208984,0,1,4,11.666666666666666,0,0,0,2.8046648502349854,0,0.0,3.4861271381378174,,0,0.2884341776371002,0.0,0,0,1,1,0,,0.5041279792785645
21,12.204477548599243,6.333333333333333,0,0,0,0,3.034687042236328,0,1,3,0.0,0,0,0,2.8618783950805664,0,0.0,1.8695050477981567,,1,0.7062332034111023,0.0,0,0,0,1,0,,0.5035306811332703
22,12.804164409637451,0.0,0,1,0,0,1.1518713235855103,0,1,2,0.0,0,0,0,2.8618783950805664,0,0.0,1.1459892988204956,,0,0.7756313681602478,0.0,0,0,0,0,0,,0.5041066408157349
23,13.402769565582275,5.666666666666667,0,0,2,0,2.8855438232421875,0,1,5,0.0,0,0,0,2.989898920059204,0,9.333333333333334,2.5169599056243896,,2,1.1769582033157349,0.0,0,0,0,0,0,,0.5035306811332703
24,14.002597332000732,0.0,0,0,1,0,1.8004032373428345,0,2,4,0.0,1,0,0,2.989898920059204,0,17.666666666666668,1.6003429889678955,,0,0.6944787502288818,7.666666666666667,0,0,0,0,0,,0.50408536195755
25,14.601269960403442,7.666666666666667,0,0,1,0,9.7366943359375,0,3,7,13.666666666666666,0,0,0,3.0023865699768066,0,11.666666666666666,4.050801753997803,,1,1.2158427238464355,0.0,0,0,1,1,0,,0.5034666657447815
26,15.201141119003296,4.333333333333333,0,0,1,0,1.7576937675476074,0,2,4,0.0,0,0,0,3.0833332538604736,0,11.0,1.579206943511963,,1,0.9203309416770935,0.0,0,0,0,0,0,,0.5041706562042236
27,15.799467325210571,14.0,0,2,0,0,5.859575271606445,0,1,7,0.0,0,0,0,2.8682172298431396,0,0.0,4.634036064147949,,2,2.2740416526794434,0.0,0,1,0,1,0,,0.5034239888191223
28,16.39824151992798,0.0,0,0,0,0,1.0088444948196411,0,2,3,0.0,1,0,0,2.8682172298431396,0,0.0,0.9919323921203613,,0,0.6648405194282532,11.0,0,0,0,0,0,,0.5041066408157349
29,16.99671483039856,6.333333333333333,0,1,0,0,2.14679217338562,0,3,5,0.0,0,0,0,2.904672861099243,0,0.0,2.140721082687378,,1,1.6851483583450317,0.0,0,0,0,0,0,,0.5034453272819519
30,17.59540891647339,6.0,0,1,0,0,2.552083969116211,0,1,5,0.0,1,0,0,2.9807357788085938,0,0.0,2.529665470123291,,2,1.7251065969467163,9.666666666666666,0,0,0,0,0,,0.5040640234947205
31,18.193861961364746,6.333333333333333,0,0,1,0,1.8028564453125,0,2,4,0.0,0,0,0,3.010169506072998,0,9.0,1.6197835206985474,,1,0.9439781904220581,0.0,0,0,0,0,0,,0.5034880042076111
32,18.792524337768555,4.333333333333333,0,1,0,0,9.779593467712402,0,0,6,10.333333333333334,1,0,0,3.0679931640625,0,0.0,4.332223892211914,,1,1.156899094581604,11.666666666666666,0,1,1,1,0,,0.5040426850318909
33,19.390997171401978,7.0,0,1,1,0,8.927298545837402,0,6,10,26.333333333333332,0,0,0,3.0833332538604736,0,9.0,4.466397762298584,,1,2.349799633026123,0.0,0,0,1,0,0,,0.5034453272819519
34,20.000712156295776,7.0,0,1,0,0,1.5321956872940063,0,1,3,0.0,0,0,0,3.0976743698120117,0,0.0,1.5265181064605713,,1,1.1131150722503662,0.0,0,0,0,0,0,,0.5040426850318909
35,20.60918426513672,0.0,0,3,0,0,2.7178587913513184,0,1,4,0.0,0,0,0,3.0976743698120117,0,0.0,2.7015421390533447,,0,1.6869468688964844,0.0,0,0,0,0,0,,0.5034239888191223
36,21.207675218582153,10.333333333333334,0,0,0,0,6.841900825500488,0,4,6,15.666666666666666,0,0,0,3.0650887489318848,0,0.0,2.5435116291046143,,1,1.3466877937316895,0.0,0,0,1,0,0,,0.5039146542549133
37,21.80625081062317,0.0,0,0,1,1,40.597129821777344,0,4,9,0.0,2,0,0,3.0650887489318848,0,11.0,3.7683372497558594,,0,1.3893766403198242,10.666666666666666,0,1,0,0,0,,0.5034026503562927
38,22.404730796813965,0.0,0,0,0,0,4.005178928375244,0,4,7,0.0,2,0,0,3.0650887489318848,0,0.0,2.886708974838257,,0,1.2677379846572876,10.333333333333334,0,0,0,1,0,,0.5039359927177429
39,23.003193616867065,10.333333333333334,0,0,1,0,2.543928861618042,0,1,5,0.0,0,0,0,2.9830949306488037,0,9.0,2.358647346496582,,3,1.5353820323944092,0.0,0,0,0,0,0,,0.5033599734306335
40,23.60166311264038,5.0,0,0,0,0,3.3643200397491455,0,3,5,0.0,0,0,0,3.0204081535339355,0,0.0,2.261033296585083,,1,1.1459406614303589,0.0,0,0,0,1,0,,0.5038719773292542
41,24.20018219947815,0.0,0,0,1,0,4.203965187072754,0,5,7,0.0,0,0,0,3.0204081535339355,0,7.666666666666667,2.917555332183838,,0,1.2738699913024902,0.0,0,0,0,1,0,,0.5033599734306335
42,24.809982299804688,12.333333333333334,0,1,0,0,8.405383110046387,0,2,7,17.0,1,0,0,2.974421501159668,0,0.0,3.9061458110809326,,1,1.6540671586990356,9.0,0,1,1,0,0,,0.5040213465690613
43,25.408513069152832,0.0,0,1,0,0,0.8601988554000854,0,0,1,0.0,0,0,0,2.974421501159668,0,0.0,0.8545370101928711,,0,0.5046914219856262,0.0,0,0,0,0,0,,0.5035093426704407
44,26.008224487304688,0.0,0,0,0,0,0.49853330850601196,0,2,2,0.0,0,0,0,2.974421501159668,0,0.0,0.4985245168209076,,0,0.48468852043151855,0.0,0,0,0,0,0,,0.5037866830825806
45,26.606703758239746,5.666666666666667,0,2,1,0,4.499333381652832,0,2,8,0.0,1,0,0,3.0023865699768066,0,9.0,4.239980697631836,,1,2.191408157348633,7.666666666666667,0,1,0,0,0,,0.5034666657447815
46,27.205678462982178,7.666666666666667,0,0,0,0,5.978973388671875,0,0,2,11.0,0,0,0,3.0081300735473633,0,0.0,1.6042132377624512,,1,0.4134436547756195,0.0,0,0,1,0,0,,0.5044906735420227
47,27.80367422103882,5.666666666666667,0,1,0,0,2.9747116565704346,0,3,7,0.0,1,0,0,3.059217691421509,0,0.0,2.9528329372406006,,2,2.154489278793335,9.666666666666666,0,0,0,0,0,,0.5034453272819519
48,28.402278423309326,5.666666666666667,0,0,0,0,8.444458961486816,0,0,4,26.333333333333332,0,0,0,3.0833332538604736,0,0.0,3.04514479637146,,1,0.5136115550994873,0.0,0,1,1,1,0,,0.5040213465690613
49,29.000602960586548,5.666666666666667,0,0,0,0,1.4228079319000244,0,4,5,0.0,0,0,0,3.1065661907196045,0,0.0,1.4225488901138306,,1,1.3249331712722778,0.0,0,0,0,0,0,,0.5032960176467896
50,29.599573373794556,0.0,0,0,0,0,0.9536445140838623,0,4,4,0.0,0,0,0,3.1065661907196045,0,0.0,0.9536277055740356,,0,0.9271608591079712,0.0,0,0,0,0,0,,0.5043200254440308
51,30.19773268699646,7.0,0,0,1,0,6.822438716888428,0,1,4,10.333333333333334,0,0,0,3.1157894134521484,0,10.333333333333334,2.4134325981140137,,1,0.6859406232833862,0.0,0,0,1,0,0,,0.5034453272819519
52,30.79633140563965,7.0,0,0,0,0,2.2993853092193604,0,2,6,0.0,2,0,0,3.1330645084381104,0,0.0,2.26794695854187,,2,1.541368007659912,7.333333333333333,0,0,0,0,0,,0.5040640234947205
53,31.394704580307007,7.0,0,0,0,0,1.3843319416046143,0,2,4,0.0,1,0,0,3.141164779663086,0,0.0,1.368629813194275,,1,0.9992766976356506,7.666666666666667,0,0,0,0,0,,0.5034453272819519
54,31.99453830718994,6.333333333333333,0,0,0,0,2.062286615371704,0,3,6,0.0,1,0,0,3.1684110164642334,0,0.0,2.046495199203491,,2,1.6046196222305298,11.666666666666666,0,0,0,0,0,,0.5040000081062317
55,32.59301972389221,0.0,0,0,0,0,0.4460572302341461,0,0,1,0.0,1,0,0,3.1684110164642334,0,0.0,0.43073832988739014,,0,0.1472938358783722,9.666666666666666,0,0,0,0,0,,0.5035306811332703
56,33.19283604621887,0.0,0,0,1,0,1.6994699239730835,0,2,4,0.0,1,0,0,3.1684110164642334,0,8.333333333333334,1.5106252431869507,,0,0.6555452346801758,7.666666666666667,0,0,0,0,0,,0.5039359927177429
57,33.791330099105835,0.0,0,1,0,0,1.5101898908615112,0,3,4,0.0,0,0,0,3.1684110164642334,0,0.0,1.5048613548278809,,0,1.1568825244903564,0.0,0,0,0,0,0,,0.5034239888191223
58,34.38985204696655,5.666666666666667,0,0,1,0,2.8576912879943848,0,3,7,0.0,0,0,0,3.2055299282073975,0,9.666666666666666,2.6404266357421875,,2,1.5770479440689087,0.0,0,1,0,0,0,,0.5040213465690613
59,34.988377809524536,6.666666666666667,0,0,0,0,176.02781677246094,0,6,9,0.0,0,0,0,3.223111152648926,1,0.0,2.2846121788024902,,2,2.1057870388031006,0.0,0,0,0,0,0,,0.5034239888191223
60,35.5980920791626,8.333333333333334,0,0,1,0,2.621837615966797,0,2,6,0.0,0,0,0,3.2119150161743164,0,9.666666666666666,2.4049627780914307,,2,1.349878191947937,0.0,0,1,0,0,0,,0.5039146542549133
61,36.21054196357727,0.0,0,0,0,0,0.6927706599235535,0,3,3,0.0,0,0,0,3.2119150161743164,0,0.0,0.6927584409713745,,0,0.673531711101532,0.0,0,0,0,0,0,,0.5035946369171143
62,36.810433864593506,7.666666666666667,0,0,0,0,1.353501796722412,0,0,3,0.0,0,0,0,3.212218761444092,0,0.0,1.3528001308441162,,3,1.1468443870544434,0.0,0,0,0,0,0,,0.5040640234947205
63,37.40942096710205,4.333333333333333,0,0,1,0,1.674512267112732,0,2,4,0.0,0,0,0,3.237867832183838,0,8.333333333333334,1.504472255706787,,1,0.8767769932746887,0.0,0,0,0,0,0,,0.5039573311805725
64,38.011783838272095,5.666666666666667,0,4,0,0,4.039983749389648,0,2,7,0.0,0,0,0,3.2527472972869873,0,0.0,4.019078731536865,,1,2.6617820262908936,0.0,0,0,0,0,0,,0.5045760273933411
65,38.61405944824219,7.0,0,0,0,0,1.560905933380127,0,3,5,0.0,1,0,0,3.257143020629883,0,0.0,1.545777440071106,,1,1.183699131011963,9.0,0,0,0,0,0,,0.5040640234947205
66,39.216530084609985,7.333333333333333,0,2,0,0,5.108444690704346,0,1,7,0.0,0,0,0,3.2623071670532227,0,0.0,4.077854633331299,,3,2.288203477859497,0.0,0,0,0,1,0,,0.5046826601028442
67,39.81473112106323,6.666666666666667,0,2,0,0,4.427873611450195,0,0,5,0.0,0,0,0,3.274803638458252,0,0.0,3.399841070175171,,2,1.6878714561462402,0.0,0,0,0,1,0,,0.5038933157920837
68,40.417227268218994,5.333333333333333,0,0,3,0,3.580005407333374,0,2,7,0.0,0,0,0,3.305936336517334,0,9.333333333333334,3.0813069343566895,,2,1.3309732675552368,0.0,0,0,0,0,0,,0.5046399831771851
69,41.01931023597717,0.0,0,1,0,0,4.0591721534729,0,4,7,0.0,1,0,0,3.305936336517334,0,0.0,3.031853199005127,,0,1.4878976345062256,8.333333333333334,0,0,0,1,0,,0.5039786696434021
70,41.623218059539795,7.666666666666667,0,2,0,0,4.635707855224609,0,1,6,0.0,0,0,0,3.304445505142212,0,0.0,3.574744462966919,,1,1.5978953838348389,0.0,0,1,0,1,0,,0.5046399831771851
71,42.22148036956787,0.0,0,1,0,0,6.2323760986328125,0,2,4,13.666666666666666,0,0,0,3.304445505142212,0,0.0,2.240652322769165,,0,0.8951311707496643,0.0,0,0,1,0,0,,0.5039359927177429
72,42.82213497161865,0.0,0,1,0,0,5.350442409515381,0,1,5,0.0,1,0,0,3.304445505142212,0,0.0,3.3149304389953613,,0,0.8556580543518066,8.333333333333334,0,0,0,2,0,,0.5040426850318909
73,43.4207968711853,5.666666666666667,0,0,0,0,3.734466791152954,0,2,6,0.0,1,0,0,3.317545175552368,0,0.0,2.670973539352417,,1,1.0481188297271729,7.666666666666667,0,1,0,1,0,,0.5035733580589294
74,44.01941967010498,0.0,0,0,0,0,147.19049072265625,0,5,8,0.0,1,0,0,3.317545175552368,0,0.0,2.6697444915771484,,0,1.2478893995285034,7.666666666666667,0,0,0,1,1,,0.5039573311805725
75,44.617915630340576,5.666666666666667,0,1,0,0,3.599344253540039,0,2,5,0.0,0,0,0,3.3305323123931885,0,0.0,2.5928468704223633,,1,1.2743772268295288,0.0,0,0,0,1,0,,0.5034239888191223
76,45.216559171676636,10.333333333333334,0,0,0,0,1.9652198553085327,0,1,5,0.0,2,0,0,3.2886054515838623,0,0.0,1.93527352809906,,2,1.2493423223495483,8.666666666666666,0,0,0,0,0,,0.50408536195755
77,45.81497669219971,6.333333333333333,0,1,0,0,15.718961715698242,1,1,4,0.0,0,0,0,3.2970170974731445,0,0.0,2.5128204822540283,,1,1.0486232042312622,0.0,0,0,0,0,0,,0.5034666657447815
78,46.41356420516968,5.666666666666667,0,0,1,0,171.51272583007812,0,0,7,0.0,0,0,0,3.3477728366851807,1,13.666666666666666,3.256605863571167,,4,1.5392396450042725,0.0,0,0,0,1,0,,0.5039573311805725
79,47.01217341423035,8.333333333333334,0,0,0,0,1.1007839441299438,0,3,4,0.0,0,0,0,3.3405983448028564,0,0.0,1.100546956062317,,1,1.0159498453140259,0.0,0,0,0,0,0,,0.5033813118934631
80,47.61071252822876,0.0,0,0,1,0,1.1888450384140015,0,2,3,0.0,0,0,0,3.3405983448028564,0,8.333333333333334,1.0242937803268433,,0,0.4820440411567688,0.0,0,0,0,0,0,,0.5040640234947205
81,48.209206342697144,0.0,0,1,0,0,3.409440040588379,0,6,10,0.0,2,0,0,3.3405983448028564,0,0.0,3.3317904472351074,,0,2.105071783065796,8.0,0,1,0,0,0,,0.5033813118934631
82,48.80765175819397,14.333333333333334,0,0,1,0,65.94298553466797,0,2,5,0.0,0,1,0,3.2898402214050293,0,13.666666666666666,1.8339605331420898,,1,0.8630709052085876,0.0,0,0,0,0,0,,0.5039146542549133
83,49.406327962875366,0.0,0,0,0,0,0.6765618920326233,0,3,3,0.0,0,0,0,3.2898402214050293,0,0.0,0.6765499114990234,,0,0.6577730178833008,0.0,0,0,0,0,0,,0.5034453272819519
84,50.004889249801636,5.666666666666667,0,0,0,0,1.9905345439910889,0,1,5,0.0,1,0,0,3.3159642219543457,0,0.0,1.9316704273223877,,2,1.1794626712799072,7.0,0,1,0,0,0,,0.5040213465690613
85,50.60457921028137,10.333333333333334,0,0,0,0,1.3197227716445923,0,2,4,0.0,1,0,0,3.294945478439331,0,0.0,1.3047535419464111,,1,0.9526387453079224,7.0,0,0,0,0,0,,0.5034453272819519
86,51.20306444168091,5.666666666666667,0,0,1,0,6.867049694061279,0,3,6,9.666666666666666,0,0,0,3.308126926422119,0,8.333333333333334,2.718773365020752,,1,1.081005573272705,0.0,0,0,1,0,0,,0.5039786696434021
87,51.80167269706726,0.0,0,0,1,0,0.9777157306671143,0,1,2,0.0,0,0,0,3.308126926422119,0,8.333333333333334,0.8113490343093872,,0,0.26932817697525024,0.0,0,0,0,0,0,,0.5034453272819519
88,52.40016222000122,0.0,0,1,0,0,1.2208315134048462,0,2,3,0.0,0,0,0,3.308126926422119,0,0.0,1.2157374620437622,,0,0.8890258073806763,0.0,0,0,0,0,0,,0.5039573311805725
89,52.99858617782593,7.666666666666667,0,1,0,0,1.6619594097137451,0,2,4,0.0,0,0,0,3.306597948074341,0,0.0,1.6566287279129028,,1,1.2625423669815063,0.0,0,0,0,0,0,,0.5032960176467896
90,53.597217082977295,8.0,0,1,0,0,2.0951786041259766,0,0,4,0.0,0,0,0,3.2952353954315186,0,0.0,2.0893890857696533,,3,1.5731401443481445,0.0,0,0,0,0,0,,0.5040213465690613
91,54.19617986679077,7.666666666666667,0,0,0,0,1.1153873205184937,0,3,4,0.0,0,0,0,3.293929100036621,0,0.0,1.1151472330093384,,1,1.0294278860092163,0.0,0,0,0,0,0,,0.5038293600082397
92,54.80054306983948,4.333333333333333,0,1,1,0,2.4054548740386963,0,2,5,0.0,0,0,0,3.3168389797210693,0,15.0,2.2343831062316895,,1,1.3081437349319458,0.0,0,0,0,0,0,,0.5039359927177429
93,55.399152755737305,6.666666666666667,0,2,0,0,3.078538656234741,0,3,7,0.0,0,0,0,3.327956438064575,0,0.0,3.067953109741211,,2,2.2912914752960205,0.0,0,0,0,0,0,,0.5034666657447815
94,55.99964714050293,5.666666666666667,0,0,2,0,2.5637032985687256,0,1,5,0.0,1,0,0,3.340852737426758,0,10.666666666666666,2.220538854598999,,1,0.822654128074646,7.666666666666667,0,0,0,0,0,,0.5050026774406433
95,56.60680413246155,5.0,0,2,0,0,2.811274290084839,0,2,6,0.0,0,0,0,3.376006603240967,0,0.0,2.8008573055267334,,2,2.042344808578491,0.0,0,0,0,0,0,,0.5041279792785645
96,57.21027994155884,5.666666666666667,0,1,0,0,1.8152928352355957,0,1,4,0.0,1,0,0,3.3884732723236084,0,0.0,1.795815348625183,,1,1.1538569927215576,13.0,0,0,0,0,0,,0.5046186447143555
97,57.81236124038696,0.0,0,0,0,0,330.85467529296875,0,3,5,0.0,0,0,0,3.3884732723236084,2,0.0,0.6628277897834778,,0,0.6380048394203186,0.0,0,0,0,0,0,,0.5039359927177429
98,58.41486692428589,0.0,0,0,0,0,1.5079774856567383,0,5,6,0.0,1,0,0,3.3884732723236084,0,0.0,1.4936692714691162,,0,1.198978304862976,7.666666666666667,0,0,0,0,0,,0.5047680139541626
99,59.02544355392456,4.333333333333333,0,0,0,1,36.99114227294922,0,5,8,0.0,0,0,0,3.4111056327819824,0,0.0,3.1714465618133545,,1,1.4381698369979858,0.0,0,0,0,1,0,,0.5036799907684326
100,59.6354603767395,0.0,0,0,0,0,14.390015602111816,1,1,3,0.0,1,0,0,3.4111056327819824,0,0.0,1.6537351608276367,,0,0.34882408380508423,17.666666666666668,0,0,0,0,0,,0.5049386620521545
101,60.24041724205017,3.6666666666666665,0,0,0,1,36.059967041015625,0,0,4,0.0,1,0,0,3.4388954639434814,0,0.0,2.4667553901672363,,1,0.5144350528717041,11.0,0,0,0,1,0,,0.5031893253326416
102,60.84231472015381,5.333333333333333,0,0,1,0,1.9581209421157837,0,0,4,0.0,1,0,0,3.4675817489624023,0,8.333333333333334,1.7854357957839966,,2,0.8902848362922668,8.333333333333334,0,0,0,0,0,,0.5047893524169922
103,61.4444465637207,6.0,0,0,0,0,1.4897770881652832,0,1,4,0.0,0,0,0,3.485179901123047,0,0.0,1.447655439376831,,2,0.9890902638435364,0.0,0,1,0,0,0,,0.5036799907684326
